SK_ID_CURR,TARGET
120039,1.0
148710,0.0
310622,0.0
132369,0.0
421280,0.0
298758,0.0
429250,0.0
430375,0.0
402028,0.0
365226,0.0
140075,0.0
127251,0.0
208348,1.0
218999,0.0
359529,0.0
149642,1.0
316676,0.0
333683,0.0
172838,0.0
108762,0.0
159653,0.0
439617,0.0
114096,1.0
180352,0.0
347249,0.0
110239,0.0
141932,0.0
422110,0.0
373653,1.0
378440,0.0
442327,0.0
434407,0.0
278463,0.0
104730,0.0
118405,1.0
422565,0.0
361163,0.0
363549,0.0
332610,0.0
452417,0.0
418439,0.0
314551,0.0
412846,0.0
295946,0.0
112743,1.0
312277,0.0
424965,0.0
268309,0.0
455305,0.0
438209,0.0
127542,0.0
326743,0.0
285940,0.0
168754,0.0
145266,0.0
377701,0.0
392476,0.0
317692,0.0
277477,0.0
148954,0.0
422901,0.0
230370,0.0
371586,0.0
110053,0.0
224701,0.0
385697,0.0
336752,0.0
198134,0.0
412774,0.0
271031,0.0
342911,0.0
275680,0.0
414750,0.0
441830,0.0
294269,0.0
443331,1.0
252074,0.0
366006,0.0
299635,0.0
149167,0.0
260712,0.0
180044,0.0
174884,0.0
258480,1.0
407014,0.0
382696,0.0
102761,0.0
431001,0.0
195872,0.0
416168,1.0
327156,0.0
370185,0.0
271024,0.0
183712,0.0
383766,0.0
355895,0.0
349814,0.0
371223,1.0
189724,0.0
178585,0.0
